s,A(s) (GHz),B(s) (GHz),C (normalized)
8.80880900E-02,4.82676000E+00,4.53016500E-01,2.39908900E-01
8.90890900E-02,4.79234200E+00,4.56077600E-01,2.41252600E-01
9.00900900E-02,4.75792400E+00,4.59148900E-01,2.42596300E-01
9.10910900E-02,4.72350600E+00,4.62230600E-01,2.43940000E-01
9.20920900E-02,4.68975400E+00,4.65322600E-01,2.45252400E-01
9.30930900E-02,4.65732300E+00,4.68424900E-01,2.46502500E-01
9.40940900E-02,4.62489300E+00,4.71537500E-01,2.47752700E-01
9.50951000E-02,4.59246200E+00,4.74660400E-01,2.49002800E-01
9.60961000E-02,4.56003200E+00,4.77793600E-01,2.50252900E-01
9.70971000E-02,4.52839300E+00,4.80937100E-01,2.51466200E-01
9.80981000E-02,4.49808700E+00,4.84090900E-01,2.52617400E-01
9.90991000E-02,4.46778000E+00,4.87255000E-01,2.53768600E-01
1.00100100E-01,4.43747400E+00,4.90429400E-01,2.54919900E-01
1.01101100E-01,4.40716800E+00,4.93614200E-01,2.56071100E-01
1.02102100E-01,4.37686100E+00,4.96809200E-01,2.57222300E-01
1.03103100E-01,4.34655500E+00,5.00014600E-01,2.58373600E-01
1.04104100E-01,4.31624800E+00,5.03230200E-01,2.59524800E-01
1.05105100E-01,4.28594200E+00,5.06456200E-01,2.60676000E-01
1.06106100E-01,4.25563500E+00,5.09692500E-01,2.61827300E-01
1.07107100E-01,4.22685100E+00,5.12939100E-01,2.62911400E-01
1.08108100E-01,4.19853300E+00,5.16196000E-01,2.63974900E-01
1.09109100E-01,4.17021500E+00,5.19463200E-01,2.65038500E-01
1.10110100E-01,4.14189700E+00,5.22740700E-01,2.66102000E-01
1.11111100E-01,4.11357800E+00,5.26028500E-01,2.67165600E-01
1.12112100E-01,4.08526000E+00,5.29326600E-01,2.68229100E-01
1.13113100E-01,4.05801000E+00,5.32635000E-01,2.69246500E-01
1.14114100E-01,4.03166600E+00,5.35953700E-01,2.70224600E-01
1.15115100E-01,4.00532300E+00,5.39282800E-01,2.71202700E-01
1.16116100E-01,3.97898000E+00,5.42622100E-01,2.72180800E-01
1.17117100E-01,3.95263700E+00,5.45971800E-01,2.73158900E-01
1.18118100E-01,3.92629400E+00,5.49331700E-01,2.74137000E-01
1.19119100E-01,3.89995100E+00,5.52702000E-01,2.75115200E-01
1.20120100E-01,3.87360700E+00,5.56082600E-01,2.76093300E-01
1.21121100E-01,3.84726400E+00,5.59473500E-01,2.77071400E-01
1.22122100E-01,3.82092100E+00,5.62874600E-01,2.78049500E-01
1.23123100E-01,3.79457800E+00,5.66286100E-01,2.79027600E-01
1.24124100E-01,3.76954900E+00,5.69707900E-01,2.79951800E-01
1.25125100E-01,3.74513000E+00,5.73140000E-01,2.80851000E-01
1.26126100E-01,3.72071200E+00,5.76582500E-01,2.81750200E-01
1.27127100E-01,3.69629300E+00,5.80035200E-01,2.82649400E-01
1.28128100E-01,3.67187400E+00,5.83498200E-01,2.83548700E-01
1.29129100E-01,3.64745500E+00,5.86971500E-01,2.84447900E-01
1.30130100E-01,3.62303600E+00,5.90455200E-01,2.85347100E-01
1.31131100E-01,3.59861800E+00,5.93949100E-01,2.86246300E-01
1.32132100E-01,3.57578300E+00,5.97453400E-01,2.87082300E-01
1.33133100E-01,3.55327700E+00,6.00968000E-01,2.87905200E-01
1.34134100E-01,3.53077100E+00,6.04492800E-01,2.88728200E-01
1.35135100E-01,3.50826600E+00,6.08028000E-01,2.89551100E-01
1.36136100E-01,3.48576000E+00,6.11573500E-01,2.90374000E-01
1.37137100E-01,3.46325400E+00,6.15129300E-01,2.91196900E-01
1.38138100E-01,3.44074800E+00,6.18695400E-01,2.92019800E-01
1.39139100E-01,3.41824300E+00,6.22271800E-01,2.92842700E-01
1.40140100E-01,3.39573700E+00,6.25858500E-01,2.93665600E-01
1.41141100E-01,3.37323100E+00,6.29455500E-01,2.94488600E-01
1.42142100E-01,3.35072500E+00,6.33062900E-01,2.95311500E-01
1.43143100E-01,3.32822000E+00,6.36680500E-01,2.96134400E-01
1.44144100E-01,3.30657900E+00,6.40308400E-01,2.96924800E-01
1.45145100E-01,3.28594200E+00,6.43946700E-01,2.97677500E-01
1.46146100E-01,3.26530400E+00,6.47595300E-01,2.98430300E-01
1.47147100E-01,3.24466700E+00,6.51254100E-01,2.99183000E-01
1.48148100E-01,3.22403000E+00,6.54923300E-01,2.99935700E-01
1.49149100E-01,3.20339300E+00,6.58602800E-01,3.00688500E-01
1.50150200E-01,3.18275600E+00,6.62292600E-01,3.01441200E-01
1.51151200E-01,3.16211800E+00,6.65992600E-01,3.02193900E-01
1.52152200E-01,3.14148100E+00,6.69703000E-01,3.02946700E-01
1.53153200E-01,3.12084400E+00,6.73423800E-01,3.03699400E-01
1.54154200E-01,3.10099600E+00,6.77154800E-01,3.04423300E-01
1.55155200E-01,3.08198200E+00,6.80896100E-01,3.05116900E-01
1.56156200E-01,3.06296700E+00,6.84647700E-01,3.05810500E-01
1.57157200E-01,3.04395300E+00,6.88409600E-01,3.06504100E-01
1.58158200E-01,3.02493800E+00,6.92181900E-01,3.07197700E-01
1.59159200E-01,3.00592400E+00,6.95964400E-01,3.07891300E-01
1.60160200E-01,2.98690900E+00,6.99757300E-01,3.08584800E-01
1.61161200E-01,2.96789500E+00,7.03560500E-01,3.09278400E-01
1.62162200E-01,2.94888000E+00,7.07373900E-01,3.09972000E-01
1.63163200E-01,2.92986600E+00,7.11197700E-01,3.10665600E-01
1.64164200E-01,2.91085100E+00,7.15031800E-01,3.11359200E-01
1.65165200E-01,2.89183700E+00,7.18876200E-01,3.12052700E-01
1.66166200E-01,2.87282200E+00,7.22730900E-01,3.12746300E-01
1.67167200E-01,2.85380700E+00,7.26595900E-01,3.13439900E-01
1.68168200E-01,2.83522300E+00,7.30471200E-01,3.14118700E-01
1.69169200E-01,2.81767500E+00,7.34356800E-01,3.14762100E-01
1.70170200E-01,2.80012700E+00,7.38252700E-01,3.15405400E-01
1.71171200E-01,2.78258000E+00,7.42159000E-01,3.16048700E-01
1.72172200E-01,2.76503200E+00,7.46075500E-01,3.16692100E-01
1.73173200E-01,2.74748400E+00,7.50002400E-01,3.17335400E-01
1.74174200E-01,2.72993600E+00,7.53939500E-01,3.17978700E-01
1.75175200E-01,2.71238800E+00,7.57887000E-01,3.18622000E-01
1.76176200E-01,2.69484000E+00,7.61844700E-01,3.19265400E-01
1.77177200E-01,2.67729200E+00,7.65812800E-01,3.19908700E-01
1.78178200E-01,2.65974400E+00,7.69791200E-01,3.20552000E-01
1.79179200E-01,2.64219700E+00,7.73779900E-01,3.21195400E-01
1.80180200E-01,2.62493800E+00,7.77778900E-01,3.21829100E-01
1.81181200E-01,2.60890000E+00,7.81788200E-01,3.22422600E-01
1.82182200E-01,2.59286300E+00,7.85807800E-01,3.23016000E-01
1.83183200E-01,2.57682500E+00,7.89837700E-01,3.23609400E-01
1.84184200E-01,2.56078800E+00,7.93877900E-01,3.24202800E-01
1.85185200E-01,2.54475000E+00,7.97928500E-01,3.24796300E-01
1.86186200E-01,2.52871300E+00,8.01989300E-01,3.25389700E-01
1.87187200E-01,2.51267500E+00,8.06060500E-01,3.25983100E-01
1.88188200E-01,2.49663700E+00,8.10141900E-01,3.26576600E-01
1.89189200E-01,2.48060000E+00,8.14233700E-01,3.27170000E-01
1.90190200E-01,2.46456200E+00,8.18335700E-01,3.27763400E-01
1.91191200E-01,2.44852500E+00,8.22448100E-01,3.28356800E-01
1.92192200E-01,2.43248700E+00,8.26570800E-01,3.28950300E-01
1.93193200E-01,2.41645000E+00,8.30703800E-01,3.29543700E-01
1.94194200E-01,2.40041200E+00,8.34847100E-01,3.30137100E-01
1.95195200E-01,2.38437400E+00,8.39000700E-01,3.30730600E-01
1.96196200E-01,2.36863000E+00,8.43164600E-01,3.31315000E-01
1.97197200E-01,2.35410600E+00,8.47338800E-01,3.31862200E-01
1.98198200E-01,2.33958200E+00,8.51523300E-01,3.32409500E-01
1.99199200E-01,2.32505800E+00,8.55718200E-01,3.32956700E-01
2.00200200E-01,2.31053400E+00,8.59923300E-01,3.33503900E-01
2.01201200E-01,2.29601000E+00,8.64138700E-01,3.34051100E-01
2.02202200E-01,2.28148600E+00,8.68364500E-01,3.34598300E-01
2.03203200E-01,2.26696200E+00,8.72600600E-01,3.35145600E-01
2.04204200E-01,2.25243800E+00,8.76846900E-01,3.35692800E-01
2.05205200E-01,2.23791400E+00,8.81103600E-01,3.36240000E-01
2.06206200E-01,2.22339000E+00,8.85370600E-01,3.36787200E-01
2.07207200E-01,2.20886500E+00,8.89647900E-01,3.37334400E-01
2.08208200E-01,2.19434100E+00,8.93935500E-01,3.37881700E-01
2.09209200E-01,2.17981700E+00,8.98233400E-01,3.38428900E-01
2.10210200E-01,2.16529300E+00,9.02541600E-01,3.38976100E-01
2.11211200E-01,2.15115700E+00,9.06860100E-01,3.39512300E-01
