s,A(s) (GHz),B(s) (GHz),c (normalized)
0.144,7.08690800,0.31152920,0.14414410
0.145,7.06508800,0.31249780,0.14514510
0.146,7.04312700,0.31348990,0.14614610
0.147,7.02116700,0.31448260,0.14714710
0.148,6.99920700,0.31547840,0.14814810
0.149,6.97724600,0.31647450,0.14914910
0.150,6.95528600,0.31747280,0.15015020
0.151,6.93332500,0.31847290,0.15115120
0.152,6.91136500,0.31947320,0.15215220
0.153,6.88940400,0.32047710,0.15315320
0.154,6.86744400,0.32148120,0.15415420
0.155,6.84548400,0.32248710,0.15515520
0.156,6.82352300,0.32349520,0.15615620
0.157,6.80156300,0.32450340,0.15715720
0.158,6.77960200,0.32551500,0.15815820
0.159,6.75764200,0.32652720,0.15915920
0.160,6.73555600,0.32756250,0.16016020
0.161,6.71318000,0.32865100,0.16116120
0.162,6.69080400,0.32973950,0.16216220
0.163,6.66821800,0.33087040,0.16316320
0.164,6.64559800,0.33200780,0.16416420
0.165,6.62297800,0.33314790,0.16516520
0.166,6.60035900,0.33428970,0.16616620
0.167,6.57773900,0.33543290,0.16716720
0.168,6.55511900,0.33657930,0.16816820
0.169,6.53249900,0.33772590,0.16916920
0.170,6.50988000,0.33887650,0.17017020
0.171,6.48726000,0.34002730,0.17117120
0.172,6.46464000,0.34118140,0.17217220
0.173,6.44202000,0.34233670,0.17317320
0.174,6.41940100,0.34349390,0.17417420
0.175,6.39678100,0.34465360,0.17517520
0.176,6.37416100,0.34581430,0.17617620
0.177,6.35134700,0.34701740,0.17717720
0.178,6.32847000,0.34823390,0.17817820
0.179,6.30533100,0.34950920,0.17917920
0.180,6.28213200,0.35079770,0.18018020
0.181,6.25873900,0.35213210,0.18118120
0.182,6.23534600,0.35346770,0.18218220
0.183,6.21195300,0.35480710,0.18318320
0.184,6.18856000,0.35614790,0.18418420
0.185,6.16516800,0.35749230,0.18518520
0.186,6.14177500,0.35883820,0.18618620
0.187,6.11838200,0.36018750,0.18718720
0.188,6.09498900,0.36153870,0.18818820
0.189,6.07159600,0.36289290,0.18918920
0.190,6.04820400,0.36424920,0.19019020
0.191,6.02481100,0.36560840,0.19119120
0.192,6.00141800,0.36696990,0.19219220
0.193,5.97801000,0.36833760,0.19319320
0.194,5.95454700,0.36972140,0.19419420
0.195,5.93102800,0.37112090,0.19519520
0.196,5.90723100,0.37259160,0.19619620
0.197,5.88327900,0.37410570,0.19719720
0.198,5.85926200,0.37564010,0.19819820
0.199,5.83515600,0.37720080,0.19919920
0.200,5.81105000,0.37876500,0.20020020
0.201,5.78694400,0.38033200,0.20120120
0.202,5.76283800,0.38190270,0.20220220
0.203,5.73873300,0.38347650,0.20320320
0.204,5.71462700,0.38505320,0.20420420
0.205,5.69052100,0.38663410,0.20520520
0.206,5.66641500,0.38821700,0.20620620
0.207,5.64230900,0.38980440,0.20720720
0.208,5.61820300,0.39139350,0.20820820
0.209,5.59409700,0.39298750,0.20920920
0.210,5.56999100,0.39458360,0.21021020
0.211,5.54588500,0.39618330,0.21121120
0.212,5.52158400,0.39784360,0.21221220
0.213,5.49719500,0.39953220,0.21321320
0.214,5.47256100,0.40130290,0.21421420
0.215,5.44785200,0.40310090,0.21521520
0.216,5.42296500,0.40496240,0.21621620
0.217,5.39807700,0.40682890,0.21721720
0.218,5.37318900,0.40869830,0.21821820
0.219,5.34830200,0.41057320,0.21921920
0.220,5.32341400,0.41245230,0.22022020
0.221,5.29852600,0.41433430,0.22122120
0.222,5.27363900,0.41622250,0.22222220
0.223,5.24875100,0.41811420,0.22322320
0.224,5.22386400,0.42000950,0.22422420
0.225,5.19897600,0.42191040,0.22522520
0.226,5.17408800,0.42381470,0.22622620
0.227,5.14920100,0.42572330,0.22722720
0.228,5.12431300,0.42763680,0.22822820
0.229,5.09942000,0.42955570,0.22922920
0.230,5.07416700,0.43161590,0.23023020
0.231,5.04889300,0.43368920,0.23123120
0.232,5.02342900,0.43584670,0.23223220
0.233,4.99784400,0.43806160,0.23323320
0.234,4.97220500,0.44030480,0.23423420
0.235,4.94656700,0.44255430,0.23523520
0.236,4.92092800,0.44480880,0.23623620
0.237,4.89529000,0.44706940,0.23723720
0.238,4.86965100,0.44933550,0.23823820
0.239,4.84401300,0.45160750,0.23923920
0.240,4.81837500,0.45388500,0.24024020
0.241,4.79273600,0.45616890,0.24124120
0.242,4.76709800,0.45845780,0.24224220
0.243,4.74145900,0.46075240,0.24324320
0.244,4.71582100,0.46305320,0.24424420
0.245,4.69018200,0.46535990,0.24524520
0.246,4.66449500,0.46769640,0.24624620
0.247,4.63871600,0.47008540,0.24724720
0.248,4.61272900,0.47258630,0.24824820
0.249,4.58666800,0.47513800,0.24924920
0.250,4.56046900,0.47777820,0.25025030
0.251,4.53411800,0.48051470,0.25125130
0.252,4.50776800,0.48325880,0.25225230
0.253,4.48141800,0.48601060,0.25325330
0.254,4.45506800,0.48877030,0.25425430
0.255,4.42871800,0.49153870,0.25525530
0.256,4.40236800,0.49431470,0.25625630
0.257,4.37601800,0.49709830,0.25725730
0.258,4.34966800,0.49988960,0.25825830
0.259,4.32331800,0.50268860,0.25925930
0.260,4.29696800,0.50549510,0.26026030
0.261,4.27061800,0.50831000,0.26126130
0.262,4.24426800,0.51113270,0.26226230
0.263,4.21791800,0.51396300,0.26326330
0.264,4.19145700,0.51688310,0.26426430
0.265,4.16483700,0.51992890,0.26526530
0.266,4.13816900,0.52302010,0.26626630
0.267,4.11139400,0.52622060,0.26726730
0.268,4.08447700,0.52956470,0.26826830
0.269,4.05752000,0.53295730,0.26926930
0.270,4.03056300,0.53636080,0.27027030
0.271,4.00360600,0.53977500,0.27127130
0.272,3.97664900,0.54320030,0.27227230
0.273,3.94969200,0.54663650,0.27327330
0.274,3.92273500,0.55008360,0.27427430
0.275,3.89577900,0.55354150,0.27527530
0.276,3.86882200,0.55701020,0.27627630
0.277,3.84186500,0.56048970,0.27727730
0.278,3.81490800,0.56398010,0.27827830
0.279,3.78795100,0.56748130,0.27927930
0.280,3.76099400,0.57099330,0.28028030
0.281,3.73401200,0.57454900,0.28128130
0.282,3.70687800,0.57831120,0.28228230
0.283,3.67968100,0.58216770,0.28328330
0.284,3.65248400,0.58603690,0.28428430
0.285,3.62517100,0.59016120,0.28528530
0.286,3.59780100,0.59442100,0.28628630
0.287,3.57043100,0.59869630,0.28728730
0.288,3.54306100,0.60298660,0.28828830
0.289,3.51569100,0.60729240,0.28928930
0.290,3.48832100,0.61161370,0.29029030
0.291,3.46095100,0.61594990,0.29129130
0.292,3.43358100,0.62030090,0.29229230
0.293,3.40621100,0.62466830,0.29329330
0.294,3.37884000,0.62905120,0.29429430
0.295,3.35147000,0.63344890,0.29529530
0.296,3.32410000,0.63786150,0.29629630
0.297,3.29673000,0.64229020,0.29729730
0.298,3.26936000,0.64673380,0.29829830
0.299,3.24194900,0.65139590,0.29929930
0.300,3.21449500,0.65628630,0.30030030
0.301,3.18704100,0.66119470,0.30130130
0.302,3.15959100,0.66621810,0.30230230
0.303,3.13215500,0.67153450,0.30330330
0.304,3.10472200,0.67692350,0.30430430
0.305,3.07728800,0.68233390,0.30530530
0.306,3.04985400,0.68776550,0.30630630
0.307,3.02242100,0.69321930,0.30730730
0.308,2.99498700,0.69869440,0.30830830
0.309,2.96755400,0.70419060,0.30930930
0.310,2.94012000,0.70970940,0.31031030
0.311,2.91268600,0.71524830,0.31131130
0.312,2.88525300,0.72081030,0.31231230
0.313,2.85781900,0.72639270,0.31331330
0.314,2.83038500,0.73199710,0.31431430
0.315,2.80295200,0.73762310,0.31531530
0.316,2.77553900,0.74334510,0.31631630
0.317,2.74822700,0.74944190,0.31731730
0.318,2.72091800,0.75557740,0.31831830
0.319,2.69361400,0.76174530,0.31931930
0.320,2.66645000,0.76821170,0.32032030
0.321,2.63941400,0.77495230,0.32132130
0.322,2.61237800,0.78172330,0.32232230
0.323,2.58534200,0.78852280,0.32332330
0.324,2.55830600,0.79535230,0.32432430
0.325,2.53127000,0.80221190,0.32532530
0.326,2.50423400,0.80909990,0.32632630
0.327,2.47719800,0.81601760,0.32732730
0.328,2.45016200,0.82296520,0.32832830
0.329,2.42312600,0.82994190,0.32932930
0.330,2.39609000,0.83694880,0.33033030
0.331,2.36905400,0.84398410,0.33133130
0.332,2.34201800,0.85104930,0.33233230
0.333,2.31500500,0.85817340,0.33333330
0.334,2.28831600,0.86573730,0.33433430
0.335,2.26175100,0.87349050,0.33533530
0.336,2.23518600,0.88127830,0.33633630
0.337,2.20868800,0.88916180,0.33733730
0.338,2.18272100,0.89756030,0.33833830
0.339,2.15683000,0.90606820,0.33933930
0.340,2.13093900,0.91461610,0.34034030
0.341,2.10504900,0.92320420,0.34134130
0.342,2.07915800,0.93183240,0.34234230
0.343,2.05326800,0.94050070,0.34334330
0.344,2.02737700,0.94920910,0.34434430
0.345,2.00148600,0.95795770,0.34534530
0.346,1.97559600,0.96674650,0.34634630
