s,A(s) (GHz),B(s) (GHz),C (normalized)
0.822,0.00002172,11.19686000,0.73921480
0.823,0.00002091,11.21842000,0.74042080
0.824,0.00002010,11.24000000,0.74162680
0.825,0.00001928,11.26160000,0.74283280
0.826,0.00001847,11.28322000,0.74403880
0.827,0.00001768,11.30486000,0.74524610
0.828,0.00001691,11.32653000,0.74645660
0.829,0.00001619,11.34821000,0.74767190
0.830,0.00001554,11.36991000,0.74889480
0.831,0.00001496,11.39164000,0.75012330
0.832,0.00001440,11.41338000,0.75135380
0.833,0.00001385,11.43515000,0.75258430
0.834,0.00001329,11.45693000,0.75381480
0.835,0.00001273,11.47874000,0.75504530
0.836,0.00001217,11.50057000,0.75627580
0.837,0.00001162,11.52241000,0.75750770
0.838,0.00001109,11.54428000,0.75874240
0.839,0.00001061,11.56617000,0.75998450
0.840,0.00001017,11.58808000,0.76123340
0.841,0.00000979,11.61002000,0.76248940
0.842,0.00000942,11.63197000,0.76374580
0.843,0.00000904,11.65394000,0.76500220
0.844,0.00000867,11.67593000,0.76625870
0.845,0.00000829,11.69795000,0.76751510
0.846,0.00000791,11.71998000,0.76877150
0.847,0.00000755,11.74204000,0.77003040
0.848,0.00000719,11.76412000,0.77129120
0.849,0.00000689,11.78621000,0.77256410
0.850,0.00000662,11.80833000,0.77384230
0.851,0.00000636,11.83047000,0.77512410
0.852,0.00000611,11.85263000,0.77640590
0.853,0.00000585,11.87481000,0.77768770
0.854,0.00000560,11.89701000,0.77896950
0.855,0.00000535,11.91923000,0.78025120
0.856,0.00000509,11.94147000,0.78153310
0.857,0.00000485,11.96374000,0.78281890
0.858,0.00000463,11.98602000,0.78411120
0.859,0.00000443,12.00833000,0.78541170
0.860,0.00000426,12.03065000,0.78671890
0.861,0.00000408,12.05300000,0.78802610
0.862,0.00000391,12.07536000,0.78933330
0.863,0.00000374,12.09775000,0.79064050
0.864,0.00000357,12.12016000,0.79194770
0.865,0.00000339,12.14259000,0.79325480
0.866,0.00000323,12.16504000,0.79456530
0.867,0.00000307,12.18751000,0.79588160
0.868,0.00000294,12.21000000,0.79720900
0.869,0.00000283,12.23251000,0.79854380
0.870,0.00000271,12.25505000,0.79987860
0.871,0.00000260,12.27760000,0.80121350
0.872,0.00000249,12.30017000,0.80254830
0.873,0.00000237,12.32277000,0.80388310
0.874,0.00000226,12.34538000,0.80521800
0.875,0.00000215,12.36802000,0.80655470
0.876,0.00000204,12.39068000,0.80789640
0.877,0.00000196,12.41336000,0.80924940
0.878,0.00000188,12.43605000,0.81060940
0.879,0.00000180,12.45877000,0.81196950
0.880,0.00000172,12.48151000,0.81332960
0.881,0.00000165,12.50427000,0.81468970
0.882,0.00000157,12.52706000,0.81604980
0.883,0.00000149,12.54986000,0.81740990
0.884,0.00000141,12.57268000,0.81877210
0.885,0.00000134,12.59552000,0.82014110
0.886,0.00000129,12.61839000,0.82152210
0.887,0.00000123,12.64127000,0.82290820
0.888,0.00000118,12.66418000,0.82429420
0.889,0.00000113,12.68711000,0.82568030
0.890,0.00000108,12.71005000,0.82706640
0.891,0.00000102,12.73302000,0.82845240
0.892,0.00000097,12.75601000,0.82983850
0.893,0.00000092,12.77902000,0.83122700
0.894,0.00000088,12.80205000,0.83262440
0.895,0.00000084,12.82510000,0.83403270
0.896,0.00000080,12.84817000,0.83544250
0.897,0.00000077,12.87127000,0.83685230
0.898,0.00000073,12.89438000,0.83826220
0.899,0.00000069,12.91751000,0.83967200
0.900,0.00000066,12.94067000,0.84108180
0.901,0.00000062,12.96384000,0.84249160
0.902,0.00000059,12.98704000,0.84390770
0.903,0.00000056,13.01026000,0.84534220
0.904,0.00000054,13.03349000,0.84678300
0.905,0.00000051,13.05675000,0.84822370
0.906,0.00000049,13.08003000,0.84966450
0.907,0.00000047,13.10333000,0.85110530
0.908,0.00000045,13.12665000,0.85254610
0.909,0.00000042,13.14999000,0.85398680
0.910,0.00000040,13.17335000,0.85542940
0.911,0.00000038,13.19674000,0.85688290
0.912,0.00000037,13.22014000,0.85834730
0.913,0.00000035,13.24357000,0.85981200
0.914,0.00000033,13.26701000,0.86127670
0.915,0.00000032,13.29048000,0.86274140
0.916,0.00000030,13.31396000,0.86420610
0.917,0.00000028,13.33747000,0.86567080
0.918,0.00000027,13.36100000,0.86713610
0.919,0.00000025,13.38455000,0.86861110
0.920,0.00000024,13.40812000,0.87010130
0.921,0.00000023,13.43171000,0.87159250
0.922,0.00000022,13.45532000,0.87308370
0.923,0.00000021,13.47895000,0.87457490
0.924,0.00000020,13.50260000,0.87606610
0.925,0.00000019,13.52627000,0.87755730
0.926,0.00000018,13.54997000,0.87904850
0.927,0.00000017,13.57368000,0.88054730
0.928,0.00000016,13.59742000,0.88206110
0.929,0.00000015,13.62117000,0.88357570
0.930,0.00000015,13.64495000,0.88509030
0.931,0.00000014,13.66875000,0.88660490
0.932,0.00000013,13.69257000,0.88811950
0.933,0.00000012,13.71640000,0.88963410
0.934,0.00000012,13.74026000,0.89114870
0.935,0.00000011,13.76414000,0.89267360
0.936,0.00000010,13.78805000,0.89421800
0.937,0.00000010,13.81197000,0.89576290
0.938,0.00000009,13.83591000,0.89730770
0.939,0.00000009,13.85987000,0.89885260
0.940,0.00000008,13.88386000,0.90039750
0.941,0.00000008,13.90786000,0.90194230
0.942,0.00000008,13.93189000,0.90348720
0.943,0.00000007,13.95593000,0.90504610
0.944,0.00000007,13.98000000,0.90661810
0.945,0.00000006,14.00409000,0.90819010
0.946,0.00000006,14.02820000,0.90976220
0.947,0.00000006,14.05233000,0.91133420
0.948,0.00000006,14.07648000,0.91290620
0.949,0.00000005,14.10065000,0.91447820
0.950,0.00000005,14.12484000,0.91605110
0.951,0.00000005,14.14905000,0.91764720
0.952,0.00000004,14.17328000,0.91924870
0.953,0.00000004,14.19754000,0.92085010
0.954,0.00000004,14.22181000,0.92245160
0.955,0.00000004,14.24611000,0.92405300
0.956,0.00000004,14.27042000,0.92565450
0.957,0.00000003,14.29476000,0.92725590
0.958,0.00000003,14.31912000,0.92886520
0.959,0.00000003,14.34349000,0.93049110
0.960,0.00000003,14.36789000,0.93211700
0.961,0.00000003,14.39231000,0.93374300
0.962,0.00000003,14.41675000,0.93536890
0.963,0.00000002,14.44121000,0.93699480
0.964,0.00000002,14.46569000,0.93862070
0.965,0.00000002,14.49020000,0.94024680
0.966,0.00000002,14.51472000,0.94189730
0.967,0.00000002,14.53926000,0.94355070
0.968,0.00000002,14.56383000,0.94520410
0.969,0.00000002,14.58841000,0.94685750
0.970,0.00000002,14.61302000,0.94851080
0.971,0.00000002,14.63765000,0.95016420
0.972,0.00000001,14.66229000,0.95181760
0.973,0.00000001,14.68696000,0.95348700
0.974,0.00000001,14.71165000,0.95516690
0.975,0.00000001,14.73636000,0.95684670
0.976,0.00000001,14.76109000,0.95852650
0.977,0.00000001,14.78584000,0.96020640
0.978,0.00000001,14.81061000,0.96188620
0.979,0.00000001,14.83541000,0.96356600
0.980,0.00000001,14.86022000,0.96525880
0.981,0.00000001,14.88505000,0.96696890
0.982,0.00000001,14.90991000,0.96867900
0.983,0.00000001,14.93479000,0.97038900
0.984,0.00000001,14.95968000,0.97209910
0.985,0.00000001,14.98460000,0.97380910
0.986,0.00000001,15.00954000,0.97551920
0.987,0.00000001,15.03450000,0.97723930
0.988,0.00000001,15.05947000,0.97897620
0.989,0.00000001,15.08447000,0.98071300
0.990,0.00000001,15.10950000,0.98244990
0.991,0.00000001,15.13454000,0.98418680
0.992,0.00000000,15.15960000,0.98592360
0.993,0.00000000,15.18468000,0.98766050
0.994,0.00000000,15.20979000,0.98940960
0.995,0.00000000,15.23491000,0.99117460
0.996,0.00000000,15.26005000,0.99293970
0.997,0.00000000,15.28522000,0.99470480
0.998,0.00000000,15.31041000,0.99646990
0.999,0.00000000,15.33561000,0.99823490
1.000,0.00000000,15.36084000,1.00000000
